log file for 10.1.1.8
16.89 89.41 59.18 4229942.0 125255.0
23.92 91.69 59.18 2001353.0 90981.0
20.92 92.34 59.18 1293488.0 85060.0
19.76 92.18 59.18 1337385.0 80967.0
19.18 92.37 59.18 991156.0 69544.0
19.41 92.34 59.18 1715991.0 90525.0
19.38 92.5 59.18 1222056.0 80984.0
18.89 92.89 59.18 613861.0 70875.0
19.47 92.58 59.18 1245589.0 80670.0
18.55 92.6 59.18 2378783.0 98224.0
20.12 92.55 59.18 1571740.0 78651.0
20.58 92.58 59.18 2154094.0 92796.0
20.01 92.78 59.18 1169585.0 78694.0
20.93 93.2 59.18 2506722.0 96195.0
20.63 93.2 59.18 314908.0 61566.0
20.9 92.63 59.18 1206582.0 71529.0
20.6 92.63 59.18 1167140.0 77092.0
21.87 92.47 59.18 11078.0 39980.0
22.27 92.71 59.18 1513919.0 79329.0
19.05 92.94 59.18 14256.0 47550.0
19.38 92.86 59.18 21614.0 51131.0
18.82 92.58 59.18 327852.0 60215.0
19.06 92.5 59.18 2583568.0 96467.0
19.73 92.58 59.18 264506.0 48966.0
18.97 92.78 59.18 182222.0 57194.0
19.24 92.86 59.18 936302.0 80754.0
20.77 92.99 59.18 2242439.0 90099.0
18.85 93.07 59.18 15804.0 45876.0
21.64 93.28 59.18 5170975.0 140292.0
20.49 94.07 59.18 74702.0 44279.0
19.76 94.07 59.18 5237139.0 136017.0
20.37 94.14 59.18 41480.0 43265.0
20.21 93.99 59.18 3180712.0 108608.0
20.45 94.27 59.18 13060.0 44576.0
20.78 88.65 59.18 3407909.0 118713.0
19.75 88.24 59.18 297964.0 197215.0
19.45 87.87 59.18 4501480.0 129209.0
20.29 87.9 59.18 2872352.0 111147.0
20.84 88.13 59.18 2598275.0 87535.0
18.07 88.26 59.18 15100.0 46229.0
18.31 88.29 59.18 770342.0 72900.0
18.72 88.05 59.18 79516.0 182643.0
19.45 87.95 59.18 7292126.0 161399.0
22.88 88.26 59.18 8110815.0 172965.0
18.56 88.6 59.18 2675797.0 99975.0
18.41 88.6 59.18 96674.0 78791.0
18.03 88.24 59.18 46596.0 46983.0
21.3 88.16 59.18 2454180.0 101093.0
19.8 88.71 59.18 4432971.0 128484.0
18.3 88.63 59.18 15980.0 47024.0
19.53 88.76 59.18 3441444.0 102287.0
19.28 89.02 59.18 5162785.0 144388.0
21.32 88.73 59.18 122532.0 54968.0
17.91 88.58 59.18 16584.0 46502.0
19.31 88.24 59.18 5402696.0 143629.0
17.68 88.42 59.18 15658.0 44538.0
19.46 88.21 59.18 950028.0 79320.0
19.37 88.39 59.18 815626.0 73131.0
21.57 88.21 59.18 5883025.0 153545.0
20.32 88.68 59.18 2787129.0 99102.0
19.02 88.78 59.18 31781.0 162522.0
19.24 88.5 59.18 16572.0 52098.0
18.27 88.44 59.18 279574.0 150294.0
18.18 88.26 59.18 15820.0 46847.0
17.53 88.26 59.18 13136.0 44940.0
19.33 88.24 59.18 90748.0 48094.0
20.02 88.47 59.18 14354.0 46079.0
17.79 88.34 59.18 16236.0 47161.0
18.86 88.26 59.18 888146.0 72357.0
17.73 88.18 59.18 829444.0 73917.0
20.57 88.1 59.18 7511784.0 162033.0
22.99 88.65 59.18 5578492.0 141728.0
17.94 89.07 59.18 681672.0 71996.0
17.16 88.16 59.18 217598.0 15176.0
7.22 85.44 59.18 9928.0 7408.0
7.43 85.33 59.18 24612.0 9208.0
7.12 85.28 59.18 10048.0 8992.0
7.12 85.28 59.18 5204.0 4496.0
7.12 85.31 59.18 10108.0 9412.0
7.11 85.33 59.18 10168.0 8992.0
7.02 85.33 59.18 24420.0 7816.0
7.17 85.33 59.18 10348.0 9454.0
7.12 85.33 59.18 20678.0 5262.0
7.16 85.31 59.18 9868.0 8992.0
7.54 85.33 59.18 10042.0 9268.0
7.61 85.33 59.18 10268.0 9272.0
7.19 85.33 59.18 9862.0 7502.0
7.26 85.33 59.18 5864.0 5336.0
7.19 85.33 59.18 10214.0 9366.0
7.19 85.36 59.18 9808.0 8992.0
7.13 85.36 59.18 10656.0 8200.0
7.12 85.39 59.18 10208.0 7688.0
7.2 85.41 59.18 9868.0 8992.0
7.12 85.41 59.18 6114.0 5476.0
7.14 85.44 59.18 10048.0 7408.0
7.38 85.86 59.18 9808.0 8992.0
7.11 85.88 59.18 10788.0 9972.0
7.24 85.62 59.18 9988.0 8992.0
7.23 85.65 59.18 9808.0 7408.0
8.93 85.33 59.18 10338.0 9906.0
7.12 85.33 59.18 5144.0 4496.0
7.05 85.36 59.18 9868.0 8992.0
6.92 85.33 59.18 10788.0 9972.0
7.17 85.36 59.18 9670.0 9086.0
7.11 85.36 59.18 9868.0 8992.0
7.09 85.39 59.18 10394.0 9058.0
7.15 85.39 59.18 9928.0 7408.0
7.16 85.39 59.18 9074.0 8350.0
7.05 85.41 59.18 9808.0 8992.0
7.17 85.41 59.18 10168.0 8992.0
7.14 85.41 59.18 9676.0 7220.0
6.94 85.41 59.18 9808.0 8992.0
7.21 85.44 59.18 7816.0 6976.0
7.01 85.44 59.18 9868.0 8992.0
6.96 85.44 59.18 9808.0 7482.0
7.11 85.46 59.18 10048.0 8992.0
7.07 85.46 59.18 9928.0 7408.0
