log file for 10.1.1.8
16.89 83.06 59.18 9796.0 7220.0
18.17 83.97 59.18 9808.0 8992.0
16.48 84.03 59.18 9604.0 8600.0
15.58 84.05 59.18 11028.0 9972.0
15.81 84.13 59.18 10048.0 9066.0
15.73 84.16 59.18 9808.0 8992.0
15.43 84.24 59.18 10348.0 9412.0
15.66 84.29 59.18 10208.0 9272.0
15.46 84.34 59.18 9682.0 8898.0
15.65 84.39 59.18 10222.0 9252.0
15.61 84.44 59.18 10268.0 9272.0
15.63 84.52 59.18 9808.0 8992.0
15.76 84.58 59.18 9688.0 8992.0
15.68 84.63 59.18 10268.0 9272.0
15.73 84.68 59.18 9988.0 9066.0
15.84 84.76 59.18 9742.0 8898.0
15.66 84.81 59.18 9406.0 8860.0
15.66 84.89 59.18 9796.0 8878.0
15.91 84.94 59.18 9616.0 8804.0
15.53 84.99 59.18 9418.0 8506.0
15.78 85.07 59.18 9988.0 8992.0
15.91 84.63 59.18 9988.0 8992.0
15.68 84.63 59.18 9688.0 8992.0
15.93 84.63 59.18 9730.0 7110.0
15.79 84.63 59.18 9796.0 7220.0
17.33 84.55 59.18 9610.0 8512.0
28.05 85.52 59.18 4904.0 4496.0
15.84 86.17 59.18 10438.0 8878.0
15.74 86.22 59.18 5345.0 4790.0
15.91 86.25 59.18 9544.0 8600.0
15.82 86.25 59.18 9868.0 8992.0
15.83 86.25 59.18 9736.0 8804.0
15.96 86.27 59.18 9358.0 8926.0
15.81 86.3 59.18 5030.0 4672.0
16.14 86.75 59.18 10108.0 8992.0
15.93 86.75 59.18 9730.0 7126.0
16.14 86.75 59.18 9949.0 9286.0
16.13 86.77 59.18 9988.0 9066.0
16.06 86.77 59.18 9862.0 8832.0
16.11 86.8 59.18 9748.0 7408.0
16.04 86.77 59.18 9676.0 8846.0
15.98 86.8 59.18 10108.0 8992.0
16.21 86.8 59.18 9868.0 8992.0
15.92 86.82 59.18 8224.0 7450.0
16.18 86.88 59.18 10249.0 9286.0
18.17 86.56 59.18 9988.0 8992.0
15.86 86.56 59.18 4820.0 4104.0
16.15 86.59 59.18 8230.0 7856.0
16.28 86.61 59.18 9790.0 8710.0
15.85 86.59 59.18 9868.0 8992.0
16.12 86.61 59.18 4898.0 4402.0
16.03 86.61 59.18 9868.0 7408.0
15.96 86.64 59.18 9922.0 8898.0
16.29 86.67 59.18 9862.0 8898.0
15.96 86.67 59.18 4904.0 4496.0
16.03 86.67 59.18 9190.0 7946.0
16.13 86.64 59.18 9928.0 8992.0
15.92 86.67 59.18 9802.0 9066.0
16.25 86.69 59.18 10392.0 9226.0
16.17 86.67 59.18 9868.0 8330.0
16.11 86.69 59.18 9922.0 9066.0
16.11 86.69 59.18 10266.0 9198.0
16.04 86.69 59.18 9988.0 8992.0
16.21 86.75 59.18 8278.0 8240.0
16.3 86.72 59.18 10228.0 9412.0
15.93 86.75 59.18 9808.0 8992.0
16.3 86.75 59.18 9928.0 8992.0
16.23 86.77 59.18 8888.0 9040.0
16.08 86.77 59.18 9991.0 9406.0
16.33 86.8 59.18 9982.0 8848.0
16.18 86.82 59.18 9928.0 9066.0
16.16 86.85 59.18 10242.0 9338.0
16.45 86.85 59.18 6096.0 5616.0
16.06 86.88 59.18 5138.0 4496.0
16.22 86.88 59.18 9038.0 7072.0
16.2 86.88 59.18 9898.0 9082.0
15.98 86.88 59.18 10565.0 9192.0
16.32 86.9 59.18 5204.0 4570.0
16.16 86.9 59.18 9736.0 8804.0
16.16 86.93 59.18 9808.0 8992.0
16.26 86.95 59.18 9982.0 9066.0
16.02 86.95 59.18 9928.0 8992.0
16.35 86.95 59.18 5828.0 5712.0
16.23 86.95 59.18 10571.0 9286.0
16.14 86.98 59.18 9658.0 8860.0
16.25 86.98 59.18 9506.0 8268.0
16.14 87.01 59.18 9688.0 8992.0
16.04 87.01 59.18 10108.0 9108.0
16.34 87.01 59.18 9922.0 8848.0
16.13 87.03 59.18 9808.0 8992.0
16.31 87.03 59.18 10431.0 8224.0
16.33 87.03 59.18 9856.0 8804.0
15.96 87.03 59.18 4860.0 3922.0
17.05 87.06 59.18 9748.0 8992.0
16.35 87.06 59.18 9928.0 8992.0
16.05 87.06 59.18 9868.0 8992.0
16.4 87.11 59.18 9808.0 8992.0
16.29 87.14 59.18 9988.0 9066.0
16.05 87.11 59.18 9928.0 8992.0
16.4 87.14 59.18 9928.0 8992.0
16.14 87.14 59.18 9838.0 8992.0
16.31 87.16 59.18 8554.0 6728.0
16.58 87.56 59.18 8866.0 6866.0
16.44 87.58 59.18 9736.0 8804.0
16.32 87.58 59.18 9808.0 7408.0
16.34 87.58 59.18 9868.0 8992.0
